id	compound	class	paraphrase	correct	score
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	1.5780175924301147
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	1.1511248350143433
6	electron beam	PROD-R	electron beam is  a beam that electrons produce	0	2.0900039672851562
6	electron beam	PRODUCTION	electron beam is a beam that produces electrons	0	1.3008878231048584
6	electron beam	CONT-R	electron beam is a beam that contains electrons	0	1.0852646827697754
6	electron beam	TOPIC-R	electron beam is a beam that is about electrons	0	2.263699531555176
6	electron beam	LOCATION	electron beam is  a beam that is located in electrons	0	1.64260995388031
6	electron beam	PURPOSE	electron beam is a beam intended for electrons	0	2.0998544692993164
7	steel beam	COMP-R	steel beam is a beam that is composed of steel	1	0.6431004405021667
7	steel beam	PARTONOMY	steel beam is a beam that is part of steel	0	1.4201563596725464
7	steel beam	USG-R	steel beam is a beam that uses steel	0	1.1772019863128662
7	steel beam	PROD-R	steel beam is  a beam that steel produces	0	2.0430965423583984
7	steel beam	PRODUCTION	steel beam is a beam that produces steel	0	1.2871147394180298
7	steel beam	CONT-R	steel beam is a beam that contains steel	0	1.1436446905136108
7	steel beam	TOPIC-R	steel beam is a beam that is about steel	0	1.907369613647461
7	steel beam	LOCATION	steel beam is  a beam that is located in steel	0	1.6665979623794556
7	steel beam	PURPOSE	steel beam is a beam intended for steel	0	1.903159737586975
8	leather belt	COMP-R	leather belt is a belt that is composed of leather	1	0.6047630310058594
8	leather belt	PARTONOMY	leather belt is a belt that is part of leather	0	0.8479703068733215
8	leather belt	USG-R	leather belt is a belt that uses leather	0	0.8958595395088196
8	leather belt	PROD-R	leather belt is  a belt that leather produces	0	1.6161296367645264
8	leather belt	PRODUCTION	leather belt is a belt that produces leather	0	0.9058670997619629
8	leather belt	CONT-R	leather belt is a belt that contains leather	0	0.8875957727432251
8	leather belt	TOPIC-R	leather belt is a belt that is about leather	0	1.381629467010498
8	leather belt	LOCATION	leather belt is  a belt that is located in leather	0	1.0572025775909424
8	leather belt	PURPOSE	leather belt is a belt intended for leather	0	1.1388877630233765
9	concrete block	COMP-R	concrete block is a block that is composed of concrete	1	0.6944093704223633
9	concrete block	PARTONOMY	concrete block is a block that is part of concrete	0	1.1521085500717163
9	concrete block	USG-R	concrete block is a block that uses concrete	0	0.7628092765808105
9	concrete block	PROD-R	concrete block is  a block that concrete produces	0	2.6707561016082764
9	concrete block	PRODUCTION	concrete block is a block that produces concrete	0	1.6313402652740479
9	concrete block	CONT-R	concrete block is a block that contains concrete	0	0.9442107677459717
9	concrete block	TOPIC-R	concrete block is a block that is about concrete	0	1.9991650581359863
9	concrete block	LOCATION	concrete block is  a block that is located in concrete	0	1.895399808883667
9	concrete block	PURPOSE	concrete block is a block intended for concrete	0	1.458086609840393
10	corn bread	COMP-R	corn bread is a bread that is composed of corn	1	0.5146868228912354
10	corn bread	PARTONOMY	corn bread is a bread that is part of corn	0	0.9309574961662292
10	corn bread	USG-R	corn bread is a bread that uses corn	0	0.9016414880752563
10	corn bread	PROD-R	corn bread is  a bread that corn produces	0	1.7123416662216187
10	corn bread	PRODUCTION	corn bread is a bread that produces corn	0	0.9129782915115356
10	corn bread	CONT-R	corn bread is a bread that contains corn	0	0.7464097738265991
10	corn bread	TOPIC-R	corn bread is a bread that is about corn	0	1.4916977882385254
10	corn bread	LOCATION	corn bread is  a bread that is located in corn	0	1.1400779485702515
10	corn bread	PURPOSE	corn bread is a bread intended for corn	0	1.6263134479522705
11	gold bullion	COMP-R	gold bullion is a bullion that is composed of gold	1	0.5571731925010681
11	gold bullion	PARTONOMY	gold bullion is a bullion that is part of gold	0	1.2942060232162476
11	gold bullion	USG-R	gold bullion is a bullion that uses gold	0	0.9320474863052368
11	gold bullion	PROD-R	gold bullion is  a bullion that gold produces	0	1.901658296585083
11	gold bullion	PRODUCTION	gold bullion is a bullion that produces gold	0	1.2438066005706787
11	gold bullion	CONT-R	gold bullion is a bullion that contains gold	0	0.7329996824264526
11	gold bullion	TOPIC-R	gold bullion is a bullion that is about gold	0	2.0690972805023193
11	gold bullion	LOCATION	gold bullion is  a bullion that is located in gold	0	1.0788428783416748
11	gold bullion	PURPOSE	gold bullion is a bullion intended for gold	0	1.52537202835083
12	peanut butter	COMP-R	peanut butter is a butter that is composed of peanuts	1	1.1377284526824951
12	peanut butter	PARTONOMY	peanut butter is a butter that is part of peanuts	0	1.6760139465332031
12	peanut butter	USG-R	peanut butter is a butter that uses peanuts	0	1.357592225074768
12	peanut butter	PROD-R	peanut butter is  a butter that peanuts produce	0	2.1312289237976074
12	peanut butter	PRODUCTION	peanut butter is a butter that produces peanuts	0	1.3988209962844849
12	peanut butter	CONT-R	peanut butter is a butter that contains peanuts	0	1.2611559629440308
12	peanut butter	TOPIC-R	peanut butter is a butter that is about peanuts	0	2.1355173587799072
12	peanut butter	LOCATION	peanut butter is  a butter that is located in peanuts	0	1.6739134788513184
12	peanut butter	PURPOSE	peanut butter is a butter intended for peanuts	0	1.741413950920105
13	rice cake	COMP-R	rice cake is a cake that is composed of rice	1	0.49519380927085876
13	rice cake	PARTONOMY	rice cake is a cake that is part of rice	0	0.9563092589378357
13	rice cake	USG-R	rice cake is a cake that uses rice	0	0.9098719358444214
13	rice cake	PROD-R	rice cake is  a cake that rice produces	0	1.6363611221313477
13	rice cake	PRODUCTION	rice cake is a cake that produces rice	0	1.1439036130905151
13	rice cake	CONT-R	rice cake is a cake that contains rice	0	0.5936263203620911
13	rice cake	TOPIC-R	rice cake is a cake that is about rice	0	1.4471427202224731
13	rice cake	LOCATION	rice cake is  a cake that is located in rice	0	0.9337101578712463
13	rice cake	PURPOSE	rice cake is a cake intended for rice	0	1.2015775442123413
14	apple cake	COMP-R	apple cake is a cake that is composed of apples	1	0.6702143549919128
14	apple cake	PARTONOMY	apple cake is a cake that is part of apples	0	1.2069700956344604
14	apple cake	USG-R	apple cake is a cake that uses apples	0	0.9069907069206238
14	apple cake	PROD-R	apple cake is  a cake that apples produce	0	2.0550670623779297
14	apple cake	PRODUCTION	apple cake is a cake that produces apples	0	1.1118073463439941
14	apple cake	CONT-R	apple cake is a cake that contains apples	0	0.7300269603729248
14	apple cake	TOPIC-R	apple cake is a cake that is about apples	0	1.3259501457214355
14	apple cake	LOCATION	apple cake is  a cake that is located in apples	0	1.3350096940994263
14	apple cake	PURPOSE	apple cake is a cake intended for apples	0	1.0660227537155151
15	crab cake	COMP-R	crab cake is a cake that is composed of crabs	1	0.5996181964874268
15	crab cake	PARTONOMY	crab cake is a cake that is part of crabs	0	1.191230058670044
15	crab cake	USG-R	crab cake is a cake that uses crabs	0	0.9304415583610535
15	crab cake	PROD-R	crab cake is  a cake that crabs produce	0	1.5503121614456177
15	crab cake	PRODUCTION	crab cake is a cake that produces crabs	0	1.006028413772583
15	crab cake	CONT-R	crab cake is a cake that contains crabs	0	0.7805613279342651
15	crab cake	TOPIC-R	crab cake is a cake that is about crabs	0	1.2848397493362427
15	crab cake	LOCATION	crab cake is  a cake that is located in crabs	0	1.284171223640442
15	crab cake	PURPOSE	crab cake is a cake intended for crabs	0	1.085856318473816
16	ice cap	COMP-R	ice cap is a cap that is composed of ice	1	0.980839729309082
16	ice cap	PARTONOMY	ice cap is a cap that is part of ice	0	1.6583772897720337
16	ice cap	USG-R	ice cap is a cap that uses ice	0	1.0429736375808716
16	ice cap	PROD-R	ice cap is  a cap that ice produces	0	2.753683090209961
16	ice cap	PRODUCTION	ice cap is a cap that produces ice	0	1.2585437297821045
16	ice cap	CONT-R	ice cap is a cap that contains ice	0	1.4049310684204102
16	ice cap	TOPIC-R	ice cap is a cap that is about ice	0	2.4352729320526123
16	ice cap	LOCATION	ice cap is  a cap that is located in ice	0	1.8289073705673218
16	ice cap	PURPOSE	ice cap is a cap intended for ice	0	1.6057673692703247
17	silicon chip	COMP-R	silicon chip is a chip that is composed of silicon	1	0.3804761469364166
17	silicon chip	PARTONOMY	silicon chip is a chip that is part of silicon	0	0.8860015273094177
17	silicon chip	USG-R	silicon chip is a chip that uses silicon	0	0.5208709239959717
17	silicon chip	PROD-R	silicon chip is  a chip that silicon produces	0	1.072439193725586
17	silicon chip	PRODUCTION	silicon chip is a chip that produces silicon	0	0.6062822937965393
17	silicon chip	CONT-R	silicon chip is a chip that contains silicon	0	0.4372381269931793
17	silicon chip	TOPIC-R	silicon chip is a chip that is about silicon	0	1.2305855751037598
17	silicon chip	LOCATION	silicon chip is  a chip that is located in silicon	0	0.8067112565040588
17	silicon chip	PURPOSE	silicon chip is a chip intended for silicon	0	0.8980078101158142
18	apple cider	COMP-R	apple cider is a cider that is composed of apples	1	0.8037179112434387
18	apple cider	PARTONOMY	apple cider is a cider that is part of apples	0	1.288396954536438
18	apple cider	USG-R	apple cider is a cider that uses apples	0	0.9911532402038574
18	apple cider	PROD-R	apple cider is  a cider that apples produce	0	2.0532572269439697
18	apple cider	PRODUCTION	apple cider is a cider that produces apples	0	1.0955495834350586
18	apple cider	CONT-R	apple cider is a cider that contains apples	0	0.8091780543327332
18	apple cider	TOPIC-R	apple cider is a cider that is about apples	0	1.6824829578399658
18	apple cider	LOCATION	apple cider is  a cider that is located in apples	0	1.3344541788101196
18	apple cider	PURPOSE	apple cider is a cider intended for apples	0	1.3384815454483032
19	fur coat	COMP-R	fur coat is a coat that is composed of fur	1	0.668464183807373
19	fur coat	PARTONOMY	fur coat is a coat that is part of fur	0	1.2638276815414429
19	fur coat	USG-R	fur coat is a coat that uses fur	0	0.9192090034484863
19	fur coat	PROD-R	fur coat is  a coat that fur produces	0	2.0955100059509277
19	fur coat	PRODUCTION	fur coat is a coat that produces fur	0	1.2131439447402954
19	fur coat	CONT-R	fur coat is a coat that contains fur	0	1.1387953758239746
19	fur coat	TOPIC-R	fur coat is a coat that is about fur	0	1.811474323272705
19	fur coat	LOCATION	fur coat is  a coat that is located in fur	0	1.5307910442352295
19	fur coat	PURPOSE	fur coat is a coat intended for fur	0	1.0679419040679932
20	drug cocktail	COMP-R	drug cocktail is a cocktail that is composed of drugs	1	0.527987003326416
20	drug cocktail	PARTONOMY	drug cocktail is a cocktail that is part of drugs	0	0.8486791849136353
20	drug cocktail	USG-R	drug cocktail is a cocktail that uses drugs	0	0.7193705439567566
20	drug cocktail	PROD-R	drug cocktail is  a cocktail that drugs produce	0	2.0861966609954834
20	drug cocktail	PRODUCTION	drug cocktail is a cocktail that produces drugs	0	0.9808443188667297
20	drug cocktail	CONT-R	drug cocktail is a cocktail that contains drugs	0	0.7195403575897217
20	drug cocktail	TOPIC-R	drug cocktail is a cocktail that is about drugs	0	1.2102272510528564
20	drug cocktail	LOCATION	drug cocktail is  a cocktail that is located in drugs	0	0.9113517999649048
20	drug cocktail	PURPOSE	drug cocktail is a cocktail intended for drugs	0	1.042483925819397
21	gold coin	COMP-R	gold coin is a coin that is composed of gold	1	0.46804389357566833
21	gold coin	PARTONOMY	gold coin is a coin that is part of gold	0	1.4734662771224976
21	gold coin	USG-R	gold coin is a coin that uses gold	0	0.7171448469161987
21	gold coin	PROD-R	gold coin is  a coin that gold produces	0	2.030947685241699
21	gold coin	PRODUCTION	gold coin is a coin that produces gold	0	1.1086814403533936
21	gold coin	CONT-R	gold coin is a coin that contains gold	0	0.797656774520874
21	gold coin	TOPIC-R	gold coin is a coin that is about gold	0	1.9408670663833618
21	gold coin	LOCATION	gold coin is  a coin that is located in gold	0	1.1065142154693604
21	gold coin	PURPOSE	gold coin is a coin intended for gold	0	1.6542702913284302
22	sugar cube	COMP-R	sugar cube is a cube that is composed of sugar	1	0.3309442102909088
22	sugar cube	PARTONOMY	sugar cube is a cube that is part of sugar	0	0.9650840163230896
22	sugar cube	USG-R	sugar cube is a cube that uses sugar	0	0.7272413969039917
22	sugar cube	PROD-R	sugar cube is  a cube that sugar produces	0	1.8401167392730713
22	sugar cube	PRODUCTION	sugar cube is a cube that produces sugar	0	0.9989539384841919
22	sugar cube	CONT-R	sugar cube is a cube that contains sugar	0	0.6489383578300476
22	sugar cube	TOPIC-R	sugar cube is a cube that is about sugar	0	1.869873046875
22	sugar cube	LOCATION	sugar cube is  a cube that is located in sugar	0	1.0295737981796265
22	sugar cube	PURPOSE	sugar cube is a cube intended for sugar	0	1.241837739944458
23	cloth diaper	COMP-R	cloth diaper is a diaper that is composed of cloth	1	0.3414348363876343
23	cloth diaper	PARTONOMY	cloth diaper is a diaper that is part of cloth	0	0.8775841593742371
23	cloth diaper	USG-R	cloth diaper is a diaper that uses cloth	0	0.5407123565673828
23	cloth diaper	PROD-R	cloth diaper is  a diaper that cloth produces	0	1.2890444993972778
23	cloth diaper	PRODUCTION	cloth diaper is a diaper that produces cloth	0	0.631173312664032
23	cloth diaper	CONT-R	cloth diaper is a diaper that contains cloth	0	0.49777576327323914
23	cloth diaper	TOPIC-R	cloth diaper is a diaper that is about cloth	0	1.249094843864441
23	cloth diaper	LOCATION	cloth diaper is  a diaper that is located in cloth	0	0.8206571936607361
23	cloth diaper	PURPOSE	cloth diaper is a diaper intended for cloth	0	0.9201822876930237
24	rag doll	COMP-R	rag doll is a doll that is composed of rag	1	0.7053028345108032
24	rag doll	PARTONOMY	rag doll is a doll that is part of rag	0	1.005944013595581
24	rag doll	USG-R	rag doll is a doll that uses rag	0	0.8836307525634766
24	rag doll	PROD-R	rag doll is  a doll that rag produces	0	1.6044458150863647
24	rag doll	PRODUCTION	rag doll is a doll that produces rag	0	0.9207804799079895
24	rag doll	CONT-R	rag doll is a doll that contains rag	0	0.911526620388031
24	rag doll	TOPIC-R	rag doll is a doll that is about rag	0	1.5949242115020752
24	rag doll	LOCATION	rag doll is  a doll that is located in rag	0	1.2300199270248413
24	rag doll	PURPOSE	rag doll is a doll intended for rag	0	1.4842329025268555
25	fruit drink	COMP-R	fruit drink is a drink that is composed of fruits	1	0.8988766670227051
25	fruit drink	PARTONOMY	fruit drink is a drink that is part of fruits	0	2.0623254776000977
25	fruit drink	USG-R	fruit drink is a drink that uses fruits	0	1.4993916749954224
25	fruit drink	PROD-R	fruit drink is  a drink that fruits produce	0	2.390164375305176
25	fruit drink	PRODUCTION	fruit drink is a drink that produces fruits	0	1.6006866693496704
25	fruit drink	CONT-R	fruit drink is a drink that contains fruits	0	1.2682373523712158
25	fruit drink	TOPIC-R	fruit drink is a drink that is about fruits	0	2.6484646797180176
25	fruit drink	LOCATION	fruit drink is  a drink that is located in fruits	0	1.903194785118103
25	fruit drink	PURPOSE	fruit drink is a drink intended for fruits	0	2.307025671005249
26	water drop	COMP-R	water drop is a drop that is composed of water	1	0.9185250401496887
26	water drop	PARTONOMY	water drop is a drop that is part of water	0	1.716591238975525
26	water drop	USG-R	water drop is a drop that uses water	0	1.0499460697174072
26	water drop	PROD-R	water drop is  a drop that water produces	0	2.7174317836761475
26	water drop	PRODUCTION	water drop is a drop that produces water	0	1.4461828470230103
26	water drop	CONT-R	water drop is a drop that contains water	0	1.2130826711654663
26	water drop	TOPIC-R	water drop is a drop that is about water	0	2.3499934673309326
26	water drop	LOCATION	water drop is  a drop that is located in water	0	1.680245041847229
26	water drop	PURPOSE	water drop is a drop intended for water	0	1.7962719202041626
27	steel drum	COMP-R	steel drum is a drum that is composed of steel	1	0.7766205072402954
27	steel drum	PARTONOMY	steel drum is a drum that is part of steel	0	1.5496466159820557
27	steel drum	USG-R	steel drum is a drum that uses steel	0	1.167280912399292
27	steel drum	PROD-R	steel drum is  a drum that steel produces	0	2.077857494354248
27	steel drum	PRODUCTION	steel drum is a drum that produces steel	0	1.2548913955688477
27	steel drum	CONT-R	steel drum is a drum that contains steel	0	1.2793962955474854
27	steel drum	TOPIC-R	steel drum is a drum that is about steel	0	2.191986083984375
27	steel drum	LOCATION	steel drum is  a drum that is located in steel	0	1.6727383136749268
27	steel drum	PURPOSE	steel drum is a drum intended for steel	0	1.9564121961593628
28	diamond earring	COMP-R	diamond earring is an earring that is composed of diamond	1	0.3681853115558624
28	diamond earring	PARTONOMY	diamond earring is an earring that is part of diamond	0	0.834732174873352
28	diamond earring	USG-R	diamond earring is an earring that uses diamond	0	0.7224639058113098
28	diamond earring	PROD-R	diamond earring is  an earring that diamond produces	0	1.2644447088241577
28	diamond earring	PRODUCTION	diamond earring is an earring that produces diamond	0	0.857528030872345
28	diamond earring	CONT-R	diamond earring is an earring that contains diamond	0	0.5564613938331604
28	diamond earring	TOPIC-R	diamond earring is an earring that is about diamond	0	1.2281458377838135
28	diamond earring	LOCATION	diamond earring is  an earring that is located in diamond	0	0.8781851530075073
28	diamond earring	PURPOSE	diamond earring is an earring intended for diamond	0	1.2706609964370728
29	carbon fiber	COMP-R	carbon fiber is a fiber that is composed of carbon	1	0.6082679629325867
29	carbon fiber	PARTONOMY	carbon fiber is a fiber that is part of carbon	0	1.3497769832611084
29	carbon fiber	USG-R	carbon fiber is a fiber that uses carbon	0	1.349139928817749
29	carbon fiber	PROD-R	carbon fiber is  a fiber that carbon produces	0	1.9794635772705078
29	carbon fiber	PRODUCTION	carbon fiber is a fiber that produces carbon	0	1.182486891746521
29	carbon fiber	CONT-R	carbon fiber is a fiber that contains carbon	0	1.0725075006484985
29	carbon fiber	TOPIC-R	carbon fiber is a fiber that is about carbon	0	2.2694222927093506
29	carbon fiber	LOCATION	carbon fiber is  a fiber that is located in carbon	0	1.78436279296875
29	carbon fiber	PURPOSE	carbon fiber is a fiber intended for carbon	0	2.3102359771728516
30	glass fiber	COMP-R	glass fiber is a fiber that is composed of glass	1	0.8706076741218567
30	glass fiber	PARTONOMY	glass fiber is a fiber that is part of glass	0	1.1703656911849976
30	glass fiber	USG-R	glass fiber is a fiber that uses glass	0	1.3602710962295532
30	glass fiber	PROD-R	glass fiber is  a fiber that glass produces	0	2.133963108062744
30	glass fiber	PRODUCTION	glass fiber is a fiber that produces glass	0	1.3537745475769043
30	glass fiber	CONT-R	glass fiber is a fiber that contains glass	0	0.9828782081604004
30	glass fiber	TOPIC-R	glass fiber is a fiber that is about glass	0	2.3842859268188477
30	glass fiber	LOCATION	glass fiber is  a fiber that is located in glass	0	1.600563406944275
30	glass fiber	PURPOSE	glass fiber is a fiber intended for glass	0	1.9826593399047852
31	metal file	COMP-R	metal file is a file that is composed of metal	1	0.6032121777534485
31	metal file	PARTONOMY	metal file is a file that is part of metal	0	1.174964189529419
31	metal file	USG-R	metal file is a file that uses metal	0	1.0699626207351685
31	metal file	PROD-R	metal file is  a file that metal produces	0	1.9630048274993896
31	metal file	PRODUCTION	metal file is a file that produces metal	0	1.366390347480774
31	metal file	CONT-R	metal file is a file that contains metal	0	0.7905670404434204
31	metal file	TOPIC-R	metal file is a file that is about metal	0	1.2306740283966064
31	metal file	LOCATION	metal file is  a file that is located in metal	0	1.2842087745666504
31	metal file	PURPOSE	metal file is a file intended for metal	0	1.3349637985229492
32	steel girder	COMP-R	steel girder is a girder that is composed of steel	1	0.6240187287330627
32	steel girder	PARTONOMY	steel girder is a girder that is part of steel	0	1.1178343296051025
32	steel girder	USG-R	steel girder is a girder that uses steel	0	1.1639423370361328
32	steel girder	PROD-R	steel girder is  a girder that steel produces	0	1.9284839630126953
32	steel girder	PRODUCTION	steel girder is a girder that produces steel	0	1.1709370613098145
32	steel girder	CONT-R	steel girder is a girder that contains steel	0	0.9512532353401184
32	steel girder	TOPIC-R	steel girder is a girder that is about steel	0	1.76957368850708
32	steel girder	LOCATION	steel girder is  a girder that is located in steel	0	1.3923054933547974
32	steel girder	PURPOSE	steel girder is a girder intended for steel	0	1.709296464920044
33	latex glove	COMP-R	latex glove is a glove that is composed of latex	1	0.8186296224594116
33	latex glove	PARTONOMY	latex glove is a glove that is part of latex	0	0.9430519938468933
33	latex glove	USG-R	latex glove is a glove that uses latex	0	0.7621316909790039
33	latex glove	PROD-R	latex glove is  a glove that latex produces	0	1.3898378610610962
33	latex glove	PRODUCTION	latex glove is a glove that produces latex	0	1.0510327816009521
33	latex glove	CONT-R	latex glove is a glove that contains latex	0	0.9007335305213928
33	latex glove	TOPIC-R	latex glove is a glove that is about latex	0	1.1686409711837769
33	latex glove	LOCATION	latex glove is  a glove that is located in latex	0	1.0398739576339722
33	latex glove	PURPOSE	latex glove is a glove intended for latex	0	1.2564183473587036
34	silicone implant	COMP-R	silicone implant is an implant that is composed of silicone	1	0.27659767866134644
34	silicone implant	PARTONOMY	silicone implant is an implant that is part of silicone	0	0.7142029404640198
34	silicone implant	USG-R	silicone implant is an implant that uses silicone	0	0.20965345203876495
34	silicone implant	PROD-R	silicone implant is  an implant that silicone produces	0	0.881557822227478
34	silicone implant	PRODUCTION	silicone implant is an implant that produces silicone	0	0.32079192996025085
34	silicone implant	CONT-R	silicone implant is an implant that contains silicone	0	0.34451088309288025
34	silicone implant	TOPIC-R	silicone implant is an implant that is about silicone	0	0.9603145122528076
34	silicone implant	LOCATION	silicone implant is  an implant that is located in silicone	0	0.48842352628707886
34	silicone implant	PURPOSE	silicone implant is an implant intended for silicone	0	0.6950616240501404
35	leather jacket	COMP-R	leather jacket is a jacket that is composed of leather	1	0.5359088778495789
35	leather jacket	PARTONOMY	leather jacket is a jacket that is part of leather	0	0.8175370097160339
35	leather jacket	USG-R	leather jacket is a jacket that uses leather	0	0.4531131684780121
35	leather jacket	PROD-R	leather jacket is  a jacket that leather produces	0	1.569968581199646
35	leather jacket	PRODUCTION	leather jacket is a jacket that produces leather	0	0.712975800037384
35	leather jacket	CONT-R	leather jacket is a jacket that contains leather	0	0.5819715857505798
35	leather jacket	TOPIC-R	leather jacket is a jacket that is about leather	0	1.308131456375122
35	leather jacket	LOCATION	leather jacket is  a jacket that is located in leather	0	0.8841648101806641
35	leather jacket	PURPOSE	leather jacket is a jacket intended for leather	0	0.8552405834197998
36	tweed jacket	COMP-R	tweed jacket is a jacket that is composed of tweed	1	0.6990256309509277
36	tweed jacket	PARTONOMY	tweed jacket is a jacket that is part of tweed	0	1.1096128225326538
36	tweed jacket	USG-R	tweed jacket is a jacket that uses tweed	0	0.8417537808418274
36	tweed jacket	PROD-R	tweed jacket is  a jacket that tweed produces	0	2.4591190814971924
36	tweed jacket	PRODUCTION	tweed jacket is a jacket that produces tweed	0	1.2780506610870361
36	tweed jacket	CONT-R	tweed jacket is a jacket that contains tweed	0	1.2073863744735718
36	tweed jacket	TOPIC-R	tweed jacket is a jacket that is about tweed	0	1.7127156257629395
36	tweed jacket	LOCATION	tweed jacket is  a jacket that is located in tweed	0	1.4028035402297974
36	tweed jacket	PURPOSE	tweed jacket is a jacket intended for tweed	0	1.5058776140213013
37	grape juice	COMP-R	grape juice is a juice that is composed of grapes	1	0.6965130567550659
37	grape juice	PARTONOMY	grape juice is a juice that is part of grapes	0	1.115781307220459
37	grape juice	USG-R	grape juice is a juice that uses grapes	0	1.0687172412872314
37	grape juice	PROD-R	grape juice is  a juice that grapes produce	0	1.5881038904190063
37	grape juice	PRODUCTION	grape juice is a juice that produces grapes	0	0.8700382113456726
37	grape juice	CONT-R	grape juice is a juice that contains grapes	0	0.713796079158783
37	grape juice	TOPIC-R	grape juice is a juice that is about grapes	0	1.3477418422698975
37	grape juice	LOCATION	grape juice is  a juice that is located in grapes	0	1.2927703857421875
