id	compound	class	paraphrase	correct	score
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	2.5369014739990234
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	2.7033896446228027
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	2.9647533893585205
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	4.413997650146484
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	3.317420482635498
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	2.806718111038208
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	3.2567341327667236
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	3.4296939373016357
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	3.35530424118042
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	2.70123553276062
6	electron beam	PARTONOMY	electron beam is a beam that is part of electrons	0	3.4679133892059326
6	electron beam	USG-R	electron beam is a beam that uses electrons	0	3.5112528800964355
6	electron beam	PROD-R	electron beam is  a beam that electrons produce	0	4.826338768005371
6	electron beam	PRODUCTION	electron beam is a beam that produces electrons	0	3.341240644454956
6	electron beam	CONT-R	electron beam is a beam that contains electrons	0	3.0695013999938965
6	electron beam	TOPIC-R	electron beam is a beam that is about electrons	0	3.938610553741455
6	electron beam	LOCATION	electron beam is  a beam that is located in electrons	0	4.505242347717285
6	electron beam	PURPOSE	electron beam is a beam intended for electrons	0	4.490962982177734
7	steel beam	COMP-R	steel beam is a beam that is composed of steel	1	2.887598752975464
7	steel beam	PARTONOMY	steel beam is a beam that is part of steel	0	3.507394790649414
7	steel beam	USG-R	steel beam is a beam that uses steel	0	3.8670661449432373
7	steel beam	PROD-R	steel beam is  a beam that steel produces	0	6.036047458648682
7	steel beam	PRODUCTION	steel beam is a beam that produces steel	0	4.708425521850586
7	steel beam	CONT-R	steel beam is a beam that contains steel	0	3.9211411476135254
7	steel beam	TOPIC-R	steel beam is a beam that is about steel	0	4.258174419403076
7	steel beam	LOCATION	steel beam is  a beam that is located in steel	0	4.574826717376709
7	steel beam	PURPOSE	steel beam is a beam intended for steel	0	4.929719924926758
8	leather belt	COMP-R	leather belt is a belt that is composed of leather	1	4.035511016845703
8	leather belt	PARTONOMY	leather belt is a belt that is part of leather	0	4.579905986785889
8	leather belt	USG-R	leather belt is a belt that uses leather	0	4.8529253005981445
8	leather belt	PROD-R	leather belt is  a belt that leather produces	0	6.601343631744385
8	leather belt	PRODUCTION	leather belt is a belt that produces leather	0	5.599330425262451
8	leather belt	CONT-R	leather belt is a belt that contains leather	0	5.112388610839844
8	leather belt	TOPIC-R	leather belt is a belt that is about leather	0	5.374550819396973
8	leather belt	LOCATION	leather belt is  a belt that is located in leather	0	5.395678997039795
8	leather belt	PURPOSE	leather belt is a belt intended for leather	0	5.491282939910889
9	concrete block	COMP-R	concrete block is a block that is composed of concrete	1	2.7803826332092285
9	concrete block	PARTONOMY	concrete block is a block that is part of concrete	0	3.390965223312378
9	concrete block	USG-R	concrete block is a block that uses concrete	0	3.7201638221740723
9	concrete block	PROD-R	concrete block is  a block that concrete produces	0	5.586893081665039
9	concrete block	PRODUCTION	concrete block is a block that produces concrete	0	3.9684576988220215
9	concrete block	CONT-R	concrete block is a block that contains concrete	0	3.4694018363952637
9	concrete block	TOPIC-R	concrete block is a block that is about concrete	0	4.047671794891357
9	concrete block	LOCATION	concrete block is  a block that is located in concrete	0	4.4107818603515625
9	concrete block	PURPOSE	concrete block is a block intended for concrete	0	3.952178716659546
10	corn bread	COMP-R	corn bread is a bread that is composed of corn	1	3.1159939765930176
10	corn bread	PARTONOMY	corn bread is a bread that is part of corn	0	3.382054328918457
10	corn bread	USG-R	corn bread is a bread that uses corn	0	3.4457592964172363
10	corn bread	PROD-R	corn bread is  a bread that corn produces	0	5.4525017738342285
10	corn bread	PRODUCTION	corn bread is a bread that produces corn	0	4.365306854248047
10	corn bread	CONT-R	corn bread is a bread that contains corn	0	3.3288424015045166
10	corn bread	TOPIC-R	corn bread is a bread that is about corn	0	4.059408187866211
10	corn bread	LOCATION	corn bread is  a bread that is located in corn	0	4.370315074920654
10	corn bread	PURPOSE	corn bread is a bread intended for corn	0	4.474170684814453
11	gold bullion	COMP-R	gold bullion is a bullion that is composed of gold	1	2.718459129333496
11	gold bullion	PARTONOMY	gold bullion is a bullion that is part of gold	0	3.1951987743377686
11	gold bullion	USG-R	gold bullion is a bullion that uses gold	0	3.463442087173462
11	gold bullion	PROD-R	gold bullion is  a bullion that gold produces	0	5.101413726806641
11	gold bullion	PRODUCTION	gold bullion is a bullion that produces gold	0	3.7160966396331787
11	gold bullion	CONT-R	gold bullion is a bullion that contains gold	0	3.061065435409546
11	gold bullion	TOPIC-R	gold bullion is a bullion that is about gold	0	3.5817811489105225
11	gold bullion	LOCATION	gold bullion is  a bullion that is located in gold	0	3.9426517486572266
11	gold bullion	PURPOSE	gold bullion is a bullion intended for gold	0	3.8663835525512695
12	peanut butter	COMP-R	peanut butter is a butter that is composed of peanuts	1	3.3956260681152344
12	peanut butter	PARTONOMY	peanut butter is a butter that is part of peanuts	0	4.064789772033691
12	peanut butter	USG-R	peanut butter is a butter that uses peanuts	0	3.8649849891662598
12	peanut butter	PROD-R	peanut butter is  a butter that peanuts produce	0	5.053141117095947
12	peanut butter	PRODUCTION	peanut butter is a butter that produces peanuts	0	4.657726764678955
12	peanut butter	CONT-R	peanut butter is a butter that contains peanuts	0	3.7366652488708496
12	peanut butter	TOPIC-R	peanut butter is a butter that is about peanuts	0	4.570345401763916
12	peanut butter	LOCATION	peanut butter is  a butter that is located in peanuts	0	4.500648021697998
12	peanut butter	PURPOSE	peanut butter is a butter intended for peanuts	0	4.695883274078369
13	rice cake	COMP-R	rice cake is a cake that is composed of rice	1	2.9817051887512207
13	rice cake	PARTONOMY	rice cake is a cake that is part of rice	0	3.4742915630340576
13	rice cake	USG-R	rice cake is a cake that uses rice	0	3.3155972957611084
13	rice cake	PROD-R	rice cake is  a cake that rice produces	0	5.719620704650879
13	rice cake	PRODUCTION	rice cake is a cake that produces rice	0	4.432985305786133
13	rice cake	CONT-R	rice cake is a cake that contains rice	0	3.2153632640838623
13	rice cake	TOPIC-R	rice cake is a cake that is about rice	0	3.8862366676330566
13	rice cake	LOCATION	rice cake is  a cake that is located in rice	0	4.5021467208862305
13	rice cake	PURPOSE	rice cake is a cake intended for rice	0	4.528956413269043
14	apple cake	COMP-R	apple cake is a cake that is composed of apples	1	2.750588893890381
14	apple cake	PARTONOMY	apple cake is a cake that is part of apples	0	3.45473575592041
14	apple cake	USG-R	apple cake is a cake that uses apples	0	3.0429461002349854
14	apple cake	PROD-R	apple cake is  a cake that apples produce	0	5.579645156860352
14	apple cake	PRODUCTION	apple cake is a cake that produces apples	0	3.8405826091766357
14	apple cake	CONT-R	apple cake is a cake that contains apples	0	2.900040626525879
14	apple cake	TOPIC-R	apple cake is a cake that is about apples	0	3.624577045440674
14	apple cake	LOCATION	apple cake is  a cake that is located in apples	0	4.444439888000488
14	apple cake	PURPOSE	apple cake is a cake intended for apples	0	4.246306419372559
15	crab cake	COMP-R	crab cake is a cake that is composed of crabs	1	3.7224769592285156
15	crab cake	PARTONOMY	crab cake is a cake that is part of crabs	0	4.123741149902344
15	crab cake	USG-R	crab cake is a cake that uses crabs	0	4.44393253326416
15	crab cake	PROD-R	crab cake is  a cake that crabs produce	0	5.802915096282959
15	crab cake	PRODUCTION	crab cake is a cake that produces crabs	0	4.786421775817871
15	crab cake	CONT-R	crab cake is a cake that contains crabs	0	4.168619632720947
15	crab cake	TOPIC-R	crab cake is a cake that is about crabs	0	4.631258487701416
15	crab cake	LOCATION	crab cake is  a cake that is located in crabs	0	4.82937479019165
15	crab cake	PURPOSE	crab cake is a cake intended for crabs	0	4.81309700012207
16	ice cap	COMP-R	ice cap is a cap that is composed of ice	1	3.6502418518066406
16	ice cap	PARTONOMY	ice cap is a cap that is part of ice	0	3.79583477973938
16	ice cap	USG-R	ice cap is a cap that uses ice	0	4.333390235900879
16	ice cap	PROD-R	ice cap is  a cap that ice produces	0	5.859618663787842
16	ice cap	PRODUCTION	ice cap is a cap that produces ice	0	4.466622352600098
16	ice cap	CONT-R	ice cap is a cap that contains ice	0	4.166153907775879
16	ice cap	TOPIC-R	ice cap is a cap that is about ice	0	4.675379276275635
16	ice cap	LOCATION	ice cap is  a cap that is located in ice	0	4.532250881195068
16	ice cap	PURPOSE	ice cap is a cap intended for ice	0	4.9958109855651855
17	silicon chip	COMP-R	silicon chip is a chip that is composed of silicon	1	2.799985408782959
17	silicon chip	PARTONOMY	silicon chip is a chip that is part of silicon	0	3.438243865966797
17	silicon chip	USG-R	silicon chip is a chip that uses silicon	0	3.1337947845458984
17	silicon chip	PROD-R	silicon chip is  a chip that silicon produces	0	5.188732624053955
17	silicon chip	PRODUCTION	silicon chip is a chip that produces silicon	0	3.9995675086975098
17	silicon chip	CONT-R	silicon chip is a chip that contains silicon	0	3.298715114593506
17	silicon chip	TOPIC-R	silicon chip is a chip that is about silicon	0	3.92029070854187
17	silicon chip	LOCATION	silicon chip is  a chip that is located in silicon	0	4.109344005584717
17	silicon chip	PURPOSE	silicon chip is a chip intended for silicon	0	4.230385780334473
18	apple cider	COMP-R	apple cider is a cider that is composed of apples	1	3.6870388984680176
18	apple cider	PARTONOMY	apple cider is a cider that is part of apples	0	4.270589351654053
18	apple cider	USG-R	apple cider is a cider that uses apples	0	4.279345512390137
18	apple cider	PROD-R	apple cider is  a cider that apples produce	0	5.925749778747559
18	apple cider	PRODUCTION	apple cider is a cider that produces apples	0	4.829306125640869
18	apple cider	CONT-R	apple cider is a cider that contains apples	0	4.290844917297363
18	apple cider	TOPIC-R	apple cider is a cider that is about apples	0	4.848695755004883
18	apple cider	LOCATION	apple cider is  a cider that is located in apples	0	5.1190185546875
18	apple cider	PURPOSE	apple cider is a cider intended for apples	0	5.4651288986206055
19	fur coat	COMP-R	fur coat is a coat that is composed of fur	1	3.10318922996521
19	fur coat	PARTONOMY	fur coat is a coat that is part of fur	0	3.4898555278778076
19	fur coat	USG-R	fur coat is a coat that uses fur	0	3.7218363285064697
19	fur coat	PROD-R	fur coat is  a coat that fur produces	0	5.619710922241211
19	fur coat	PRODUCTION	fur coat is a coat that produces fur	0	4.402896881103516
19	fur coat	CONT-R	fur coat is a coat that contains fur	0	3.6470794677734375
19	fur coat	TOPIC-R	fur coat is a coat that is about fur	0	4.349286079406738
19	fur coat	LOCATION	fur coat is  a coat that is located in fur	0	4.584670543670654
19	fur coat	PURPOSE	fur coat is a coat intended for fur	0	4.634696006774902
20	drug cocktail	COMP-R	drug cocktail is a cocktail that is composed of drugs	1	3.2239887714385986
20	drug cocktail	PARTONOMY	drug cocktail is a cocktail that is part of drugs	0	3.920429229736328
20	drug cocktail	USG-R	drug cocktail is a cocktail that uses drugs	0	4.011477947235107
20	drug cocktail	PROD-R	drug cocktail is  a cocktail that drugs produce	0	5.670742988586426
20	drug cocktail	PRODUCTION	drug cocktail is a cocktail that produces drugs	0	4.913778781890869
20	drug cocktail	CONT-R	drug cocktail is a cocktail that contains drugs	0	3.5137832164764404
20	drug cocktail	TOPIC-R	drug cocktail is a cocktail that is about drugs	0	4.305765628814697
20	drug cocktail	LOCATION	drug cocktail is  a cocktail that is located in drugs	0	5.092276096343994
20	drug cocktail	PURPOSE	drug cocktail is a cocktail intended for drugs	0	4.905752182006836
21	gold coin	COMP-R	gold coin is a coin that is composed of gold	1	3.2154922485351562
21	gold coin	PARTONOMY	gold coin is a coin that is part of gold	0	3.6147546768188477
21	gold coin	USG-R	gold coin is a coin that uses gold	0	4.116168022155762
21	gold coin	PROD-R	gold coin is  a coin that gold produces	0	5.986959457397461
21	gold coin	PRODUCTION	gold coin is a coin that produces gold	0	4.463754653930664
21	gold coin	CONT-R	gold coin is a coin that contains gold	0	3.7371597290039062
21	gold coin	TOPIC-R	gold coin is a coin that is about gold	0	4.311007499694824
21	gold coin	LOCATION	gold coin is  a coin that is located in gold	0	4.543764591217041
21	gold coin	PURPOSE	gold coin is a coin intended for gold	0	4.587491512298584
22	sugar cube	COMP-R	sugar cube is a cube that is composed of sugar	1	3.104015588760376
22	sugar cube	PARTONOMY	sugar cube is a cube that is part of sugar	0	3.4865148067474365
22	sugar cube	USG-R	sugar cube is a cube that uses sugar	0	3.946796417236328
22	sugar cube	PROD-R	sugar cube is  a cube that sugar produces	0	5.619010925292969
22	sugar cube	PRODUCTION	sugar cube is a cube that produces sugar	0	4.027308940887451
22	sugar cube	CONT-R	sugar cube is a cube that contains sugar	0	3.450033664703369
22	sugar cube	TOPIC-R	sugar cube is a cube that is about sugar	0	4.165566921234131
22	sugar cube	LOCATION	sugar cube is  a cube that is located in sugar	0	4.330361366271973
22	sugar cube	PURPOSE	sugar cube is a cube intended for sugar	0	4.57850980758667
23	cloth diaper	COMP-R	cloth diaper is a diaper that is composed of cloth	1	3.0801336765289307
23	cloth diaper	PARTONOMY	cloth diaper is a diaper that is part of cloth	0	3.432158946990967
23	cloth diaper	USG-R	cloth diaper is a diaper that uses cloth	0	3.3772084712982178
23	cloth diaper	PROD-R	cloth diaper is  a diaper that cloth produces	0	6.113137245178223
23	cloth diaper	PRODUCTION	cloth diaper is a diaper that produces cloth	0	4.7802581787109375
23	cloth diaper	CONT-R	cloth diaper is a diaper that contains cloth	0	3.6414453983306885
23	cloth diaper	TOPIC-R	cloth diaper is a diaper that is about cloth	0	4.6102471351623535
23	cloth diaper	LOCATION	cloth diaper is  a diaper that is located in cloth	0	4.6899309158325195
23	cloth diaper	PURPOSE	cloth diaper is a diaper intended for cloth	0	4.088538646697998
24	rag doll	COMP-R	rag doll is a doll that is composed of rag	1	3.9738481044769287
24	rag doll	PARTONOMY	rag doll is a doll that is part of rag	0	3.9934303760528564
24	rag doll	USG-R	rag doll is a doll that uses rag	0	4.862724304199219
24	rag doll	PROD-R	rag doll is  a doll that rag produces	0	6.829505920410156
24	rag doll	PRODUCTION	rag doll is a doll that produces rag	0	5.372323989868164
24	rag doll	CONT-R	rag doll is a doll that contains rag	0	5.079533576965332
24	rag doll	TOPIC-R	rag doll is a doll that is about rag	0	4.631840229034424
24	rag doll	LOCATION	rag doll is  a doll that is located in rag	0	5.061678409576416
24	rag doll	PURPOSE	rag doll is a doll intended for rag	0	5.364792346954346
25	fruit drink	COMP-R	fruit drink is a drink that is composed of fruits	1	2.8114469051361084
25	fruit drink	PARTONOMY	fruit drink is a drink that is part of fruits	0	3.58937406539917
25	fruit drink	USG-R	fruit drink is a drink that uses fruits	0	3.581961154937744
25	fruit drink	PROD-R	fruit drink is  a drink that fruits produce	0	4.9992876052856445
25	fruit drink	PRODUCTION	fruit drink is a drink that produces fruits	0	4.268900394439697
25	fruit drink	CONT-R	fruit drink is a drink that contains fruits	0	3.112086772918701
25	fruit drink	TOPIC-R	fruit drink is a drink that is about fruits	0	4.045490741729736
25	fruit drink	LOCATION	fruit drink is  a drink that is located in fruits	0	4.538449764251709
25	fruit drink	PURPOSE	fruit drink is a drink intended for fruits	0	4.637032985687256
26	water drop	COMP-R	water drop is a drop that is composed of water	1	3.5596280097961426
26	water drop	PARTONOMY	water drop is a drop that is part of water	0	3.7029335498809814
26	water drop	USG-R	water drop is a drop that uses water	0	4.596536159515381
26	water drop	PROD-R	water drop is  a drop that water produces	0	5.843542575836182
26	water drop	PRODUCTION	water drop is a drop that produces water	0	4.694952964782715
26	water drop	CONT-R	water drop is a drop that contains water	0	4.2051310539245605
26	water drop	TOPIC-R	water drop is a drop that is about water	0	4.455034255981445
26	water drop	LOCATION	water drop is  a drop that is located in water	0	4.6029815673828125
26	water drop	PURPOSE	water drop is a drop intended for water	0	5.255489349365234
27	steel drum	COMP-R	steel drum is a drum that is composed of steel	1	3.095242500305176
27	steel drum	PARTONOMY	steel drum is a drum that is part of steel	0	3.687593698501587
27	steel drum	USG-R	steel drum is a drum that uses steel	0	3.555924654006958
27	steel drum	PROD-R	steel drum is  a drum that steel produces	0	5.760395050048828
27	steel drum	PRODUCTION	steel drum is a drum that produces steel	0	4.360919952392578
27	steel drum	CONT-R	steel drum is a drum that contains steel	0	3.706397294998169
27	steel drum	TOPIC-R	steel drum is a drum that is about steel	0	4.04214334487915
27	steel drum	LOCATION	steel drum is  a drum that is located in steel	0	4.571165084838867
27	steel drum	PURPOSE	steel drum is a drum intended for steel	0	4.406832695007324
28	diamond earring	COMP-R	diamond earring is an earring that is composed of diamond	1	2.9575862884521484
28	diamond earring	PARTONOMY	diamond earring is an earring that is part of diamond	0	3.150174617767334
28	diamond earring	USG-R	diamond earring is an earring that uses diamond	0	3.4421775341033936
28	diamond earring	PROD-R	diamond earring is  an earring that diamond produces	0	4.772102355957031
28	diamond earring	PRODUCTION	diamond earring is an earring that produces diamond	0	3.9359002113342285
28	diamond earring	CONT-R	diamond earring is an earring that contains diamond	0	3.341357469558716
28	diamond earring	TOPIC-R	diamond earring is an earring that is about diamond	0	3.5808265209198
28	diamond earring	LOCATION	diamond earring is  an earring that is located in diamond	0	4.05920934677124
28	diamond earring	PURPOSE	diamond earring is an earring intended for diamond	0	4.03976583480835
29	carbon fiber	COMP-R	carbon fiber is a fiber that is composed of carbon	1	2.2300240993499756
29	carbon fiber	PARTONOMY	carbon fiber is a fiber that is part of carbon	0	3.1264398097991943
29	carbon fiber	USG-R	carbon fiber is a fiber that uses carbon	0	3.034334659576416
29	carbon fiber	PROD-R	carbon fiber is  a fiber that carbon produces	0	5.388078689575195
29	carbon fiber	PRODUCTION	carbon fiber is a fiber that produces carbon	0	3.73542857170105
29	carbon fiber	CONT-R	carbon fiber is a fiber that contains carbon	0	3.0635666847229004
29	carbon fiber	TOPIC-R	carbon fiber is a fiber that is about carbon	0	3.678915023803711
29	carbon fiber	LOCATION	carbon fiber is  a fiber that is located in carbon	0	3.996229887008667
29	carbon fiber	PURPOSE	carbon fiber is a fiber intended for carbon	0	4.155781269073486
30	glass fiber	COMP-R	glass fiber is a fiber that is composed of glass	1	2.616914987564087
30	glass fiber	PARTONOMY	glass fiber is a fiber that is part of glass	0	3.1350791454315186
30	glass fiber	USG-R	glass fiber is a fiber that uses glass	0	3.3805346488952637
30	glass fiber	PROD-R	glass fiber is  a fiber that glass produces	0	5.685141563415527
30	glass fiber	PRODUCTION	glass fiber is a fiber that produces glass	0	4.038544654846191
30	glass fiber	CONT-R	glass fiber is a fiber that contains glass	0	3.4032251834869385
30	glass fiber	TOPIC-R	glass fiber is a fiber that is about glass	0	3.9876108169555664
30	glass fiber	LOCATION	glass fiber is  a fiber that is located in glass	0	4.234323024749756
30	glass fiber	PURPOSE	glass fiber is a fiber intended for glass	0	4.431691646575928
31	metal file	COMP-R	metal file is a file that is composed of metal	1	2.8369083404541016
31	metal file	PARTONOMY	metal file is a file that is part of metal	0	3.2964744567871094
31	metal file	USG-R	metal file is a file that uses metal	0	3.6070377826690674
31	metal file	PROD-R	metal file is  a file that metal produces	0	5.552717208862305
31	metal file	PRODUCTION	metal file is a file that produces metal	0	4.03111457824707
31	metal file	CONT-R	metal file is a file that contains metal	0	3.0244195461273193
31	metal file	TOPIC-R	metal file is a file that is about metal	0	3.7748286724090576
31	metal file	LOCATION	metal file is  a file that is located in metal	0	4.179931163787842
31	metal file	PURPOSE	metal file is a file intended for metal	0	3.984356164932251
32	steel girder	COMP-R	steel girder is a girder that is composed of steel	1	2.768333911895752
32	steel girder	PARTONOMY	steel girder is a girder that is part of steel	0	3.130063533782959
32	steel girder	USG-R	steel girder is a girder that uses steel	0	3.3866920471191406
32	steel girder	PROD-R	steel girder is  a girder that steel produces	0	5.130599498748779
32	steel girder	PRODUCTION	steel girder is a girder that produces steel	0	3.9919307231903076
32	steel girder	CONT-R	steel girder is a girder that contains steel	0	3.5042343139648438
32	steel girder	TOPIC-R	steel girder is a girder that is about steel	0	3.6784775257110596
32	steel girder	LOCATION	steel girder is  a girder that is located in steel	0	3.934144973754883
32	steel girder	PURPOSE	steel girder is a girder intended for steel	0	4.118791580200195
33	latex glove	COMP-R	latex glove is a glove that is composed of latex	1	3.590918779373169
33	latex glove	PARTONOMY	latex glove is a glove that is part of latex	0	3.740550994873047
33	latex glove	USG-R	latex glove is a glove that uses latex	0	4.204553604125977
33	latex glove	PROD-R	latex glove is  a glove that latex produces	0	6.122125148773193
33	latex glove	PRODUCTION	latex glove is a glove that produces latex	0	4.7706828117370605
33	latex glove	CONT-R	latex glove is a glove that contains latex	0	4.229584693908691
33	latex glove	TOPIC-R	latex glove is a glove that is about latex	0	4.493005752563477
33	latex glove	LOCATION	latex glove is  a glove that is located in latex	0	4.888704299926758
33	latex glove	PURPOSE	latex glove is a glove intended for latex	0	4.554750442504883
34	silicone implant	COMP-R	silicone implant is an implant that is composed of silicone	1	3.230239152908325
34	silicone implant	PARTONOMY	silicone implant is an implant that is part of silicone	0	3.935589551925659
34	silicone implant	USG-R	silicone implant is an implant that uses silicone	0	3.814600944519043
34	silicone implant	PROD-R	silicone implant is  an implant that silicone produces	0	5.790397644042969
34	silicone implant	PRODUCTION	silicone implant is an implant that produces silicone	0	4.660398483276367
34	silicone implant	CONT-R	silicone implant is an implant that contains silicone	0	3.7710719108581543
34	silicone implant	TOPIC-R	silicone implant is an implant that is about silicone	0	4.40966272354126
34	silicone implant	LOCATION	silicone implant is  an implant that is located in silicone	0	4.467266082763672
34	silicone implant	PURPOSE	silicone implant is an implant intended for silicone	0	4.886991500854492
35	leather jacket	COMP-R	leather jacket is a jacket that is composed of leather	1	3.967489242553711
35	leather jacket	PARTONOMY	leather jacket is a jacket that is part of leather	0	4.322868347167969
35	leather jacket	USG-R	leather jacket is a jacket that uses leather	0	5.035019397735596
35	leather jacket	PROD-R	leather jacket is  a jacket that leather produces	0	6.5897369384765625
35	leather jacket	PRODUCTION	leather jacket is a jacket that produces leather	0	5.698166370391846
35	leather jacket	CONT-R	leather jacket is a jacket that contains leather	0	5.049100875854492
35	leather jacket	TOPIC-R	leather jacket is a jacket that is about leather	0	5.384494304656982
35	leather jacket	LOCATION	leather jacket is  a jacket that is located in leather	0	5.352994918823242
35	leather jacket	PURPOSE	leather jacket is a jacket intended for leather	0	5.41050910949707
36	tweed jacket	COMP-R	tweed jacket is a jacket that is composed of tweed	1	3.4259939193725586
36	tweed jacket	PARTONOMY	tweed jacket is a jacket that is part of tweed	0	3.63777756690979
36	tweed jacket	USG-R	tweed jacket is a jacket that uses tweed	0	4.049750328063965
36	tweed jacket	PROD-R	tweed jacket is  a jacket that tweed produces	0	5.837246417999268
36	tweed jacket	PRODUCTION	tweed jacket is a jacket that produces tweed	0	4.682530403137207
36	tweed jacket	CONT-R	tweed jacket is a jacket that contains tweed	0	4.099615573883057
36	tweed jacket	TOPIC-R	tweed jacket is a jacket that is about tweed	0	4.470955848693848
36	tweed jacket	LOCATION	tweed jacket is  a jacket that is located in tweed	0	4.610083103179932
36	tweed jacket	PURPOSE	tweed jacket is a jacket intended for tweed	0	4.622546672821045
37	grape juice	COMP-R	grape juice is a juice that is composed of grapes	1	3.3243324756622314
37	grape juice	PARTONOMY	grape juice is a juice that is part of grapes	0	3.7550761699676514
37	grape juice	USG-R	grape juice is a juice that uses grapes	0	3.8535618782043457
37	grape juice	PROD-R	grape juice is  a juice that grapes produce	0	4.927239894866943
37	grape juice	PRODUCTION	grape juice is a juice that produces grapes	0	4.3020734786987305
37	grape juice	CONT-R	grape juice is a juice that contains grapes	0	3.662376880645752
37	grape juice	TOPIC-R	grape juice is a juice that is about grapes	0	4.37601900100708
37	grape juice	LOCATION	grape juice is  a juice that is located in grapes	0	4.386674404144287
37	grape juice	PURPOSE	grape juice is a juice intended for grapes	0	4.713391304016113
38	apple juice	COMP-R	apple juice is a juice that is composed of apples	1	3.218677043914795
38	apple juice	PARTONOMY	apple juice is a juice that is part of apples	0	3.64013671875
38	apple juice	USG-R	apple juice is a juice that uses apples	0	3.950420618057251
38	apple juice	PROD-R	apple juice is  a juice that apples produce	0	4.974804878234863
